# started on Wed Jan 10 16:32:07 2018

#           time CPU                counts unit events
     0.601904425 CPU5                48,109      LLC-load-misses                                             
     0.601904425 CPU6                 1,650      LLC-load-misses                                             
     0.601904425 CPU7                   514      LLC-load-misses                                             
     0.601904425 CPU4                30,868      branch-misses             #    2.44% of all branches        
     0.601904425 CPU5             3,113,137      branch-misses             #  246.45% of all branches        
     0.601904425 CPU6                 1,882      branch-misses             #    0.15% of all branches        
     0.601904425 CPU7                   609      branch-misses             #    0.05% of all branches        
     0.601904425 CPU4             1,167,277      branches                                                    
     0.601904425 CPU5            94,647,716      branches                                                    
     0.601904425 CPU6                30,684      branches                                                    
     0.601904425 CPU7                15,385      branches                                                    
     0.802368901 CPU4            20,603,006      cycles                                                      
     0.802368901 CPU5           373,204,991      cycles                                                      
     0.802368901 CPU6             1,793,339      cycles                                                      
     0.802368901 CPU7             1,087,723      cycles                                                      
     0.802368901 CPU4             4,232,809      instructions              #    0.16  insn per cycle         
     0.802368901 CPU5           533,201,486      instructions              #   20.75  insn per cycle         
     0.802368901 CPU6               102,852      instructions              #    0.00  insn per cycle         
     0.802368901 CPU7                14,888      instructions              #    0.00  insn per cycle         
     0.802368901 CPU4                     0      page-faults                                                 
     0.802368901 CPU5                   387      page-faults                                                 
     0.802368901 CPU6                     0      page-faults                                                 
     0.802368901 CPU7                     0      page-faults                                                 
     0.802368901 CPU4                11,199      LLC-load-misses                                             
     0.802368901 CPU5                49,521      LLC-load-misses                                             
     0.802368901 CPU6                 1,730      LLC-load-misses                                             
     0.802368901 CPU7                     7      LLC-load-misses                                             
     0.802368901 CPU4                20,170      branch-misses             #    1.67% of all branches        
     0.802368901 CPU5             3,204,960      branch-misses             #  265.95% of all branches        
     0.802368901 CPU6                 1,170      branch-misses             #    0.10% of all branches        
     0.802368901 CPU7                   153      branch-misses             #    0.01% of all branches        
     0.802368901 CPU4             1,030,827      branches                                                    
     0.802368901 CPU5            97,354,368      branches                                                    
     0.802368901 CPU6                23,260      branches                                                    
     0.802368901 CPU7                 3,718      branches                                                    
     1.002858627 CPU4            21,915,954      cycles                                                      
     1.002858627 CPU5           373,719,269      cycles                                                      
     1.002858627 CPU6             1,705,584      cycles                                                      
     1.002858627 CPU7             1,032,496      cycles                                                      
     1.002858627 CPU4             4,956,730      instructions              #    0.20  insn per cycle         
     1.002858627 CPU5           533,174,317      instructions              #   21.38  insn per cycle         
     1.002858627 CPU6                98,282      instructions              #    0.00  insn per cycle         
     1.002858627 CPU7                14,888      instructions              #    0.00  insn per cycle         
     1.002858627 CPU4                     0      page-faults                                                 
     1.002858627 CPU5                   387      page-faults                                                 
     1.002858627 CPU6                     0      page-faults                                                 
     1.002858627 CPU7                     0      page-faults                                                 
     1.002858627 CPU4                15,738      LLC-load-misses                                             
     1.002858627 CPU5                49,628      LLC-load-misses                                             
     1.002858627 CPU6                 1,518      LLC-load-misses                                             
     1.002858627 CPU7                     6      LLC-load-misses                                             
     1.002858627 CPU4                32,207      branch-misses             #    2.68% of all branches        
     1.002858627 CPU5             3,217,745      branch-misses             #  267.57% of all branches        
     1.002858627 CPU6                   972      branch-misses             #    0.08% of all branches        
     1.002858627 CPU7                   165      branch-misses             #    0.01% of all branches        
     1.002858627 CPU4             1,192,575      branches                                                    
     1.002858627 CPU5            97,390,726      branches                                                    
     1.002858627 CPU6                22,113      branches                                                    
     1.002858627 CPU7                 3,687      branches                                                    
     1.203386019 CPU4            21,037,398      cycles                                                      
     1.203386019 CPU5           362,221,171      cycles                                                      
     1.203386019 CPU6             1,752,164      cycles                                                      
     1.203386019 CPU7             1,065,061      cycles                                                      
     1.203386019 CPU4             4,117,421      instructions              #    0.17  insn per cycle         
     1.203386019 CPU5           517,241,557      instructions              #   21.29  insn per cycle         
     1.203386019 CPU6                98,872      instructions              #    0.00  insn per cycle         
     1.203386019 CPU7                14,888      instructions              #    0.00  insn per cycle         
     1.203386019 CPU4                     0      page-faults                                                 
     1.203386019 CPU5                   375      page-faults                                                 
     1.203386019 CPU6                     0      page-faults                                                 
     1.203386019 CPU7                     0      page-faults                                                 
     1.203386019 CPU4                13,766      LLC-load-misses                                             
     1.203386019 CPU5                47,855      LLC-load-misses                                             
     1.203386019 CPU6                 1,604      LLC-load-misses                                             
     1.203386019 CPU7                     3      LLC-load-misses                                             
     1.203386019 CPU4                22,904      branch-misses             #    1.96% of all branches        
     1.203386019 CPU5             3,126,995      branch-misses             #  267.59% of all branches        
     1.203386019 CPU6                 1,011      branch-misses             #    0.09% of all branches        
     1.203386019 CPU7                   146      branch-misses             #    0.01% of all branches        
     1.203386019 CPU4               998,624      branches                                                    
     1.203386019 CPU5            94,478,024      branches                                                    
     1.203386019 CPU6                22,136      branches                                                    
     1.203386019 CPU7                 3,687      branches                                                    
     1.403858537 CPU4            94,228,944      cycles                                                      
     1.403858537 CPU5           380,848,344      cycles                                                      
     1.403858537 CPU6            74,185,619      cycles                                                      
     1.403858537 CPU7             8,194,424      cycles                                                      
     1.403858537 CPU4            26,249,938      instructions              #    0.77  insn per cycle         
     1.403858537 CPU5           515,560,326      instructions              #   15.04  insn per cycle         
     1.403858537 CPU6            18,413,019      instructions              #    0.54  insn per cycle         
     1.403858537 CPU7               478,985      instructions              #    0.01  insn per cycle         
     1.403858537 CPU4                 1,223      page-faults                                                 
     1.403858537 CPU5                   373      page-faults                                                 
     1.403858537 CPU6                 1,305      page-faults                                                 
     1.403858537 CPU7                    66      page-faults                                                 
     1.403858537 CPU4                43,148      LLC-load-misses                                             
     1.403858537 CPU5                49,347      LLC-load-misses                                             
     1.403858537 CPU6                52,395      LLC-load-misses                                             
     1.403858537 CPU7                 3,593      LLC-load-misses                                             
     1.403858537 CPU4               198,817      branch-misses             #   10.97% of all branches        
     1.403858537 CPU5             3,117,460      branch-misses             #  171.94% of all branches        
     1.403858537 CPU6               247,521      branch-misses             #   13.65% of all branches        
     1.403858537 CPU7                 6,681      branch-misses             #    0.37% of all branches        
     1.403858537 CPU4             5,680,083      branches                                                    
     1.403858537 CPU5            94,145,898      branches                                                    
     1.403858537 CPU6             3,922,261      branches                                                    
     1.403858537 CPU7               102,664      branches                                                    
     1.604358805 CPU4            54,453,029      cycles                                                      
     1.604358805 CPU5           364,802,259      cycles                                                      
     1.604358805 CPU6             7,489,988      cycles                                                      
     1.604358805 CPU7             3,697,723      cycles                                                      
     1.604358805 CPU4            14,984,762      instructions              #    0.41  insn per cycle         
     1.604358805 CPU5           520,460,363      instructions              #   14.14  insn per cycle         
     1.604358805 CPU6               983,174      instructions              #    0.03  insn per cycle         
     1.604358805 CPU7             1,506,812      instructions              #    0.04  insn per cycle         
     1.604358805 CPU4                     0      page-faults                                                 
     1.604358805 CPU5                   378      page-faults                                                 
     1.604358805 CPU6                     0      page-faults                                                 
     1.604358805 CPU7                     0      page-faults                                                 
     1.604358805 CPU4                41,364      LLC-load-misses                                             
     1.604358805 CPU5                49,221      LLC-load-misses                                             
     1.604358805 CPU6                 9,531      LLC-load-misses                                             
     1.604358805 CPU7                 2,104      LLC-load-misses                                             
     1.604358805 CPU4               149,791      branch-misses             #    7.40% of all branches        
     1.604358805 CPU5             3,131,105      branch-misses             #  154.61% of all branches        
     1.604358805 CPU6                11,353      branch-misses             #    0.56% of all branches        
     1.604358805 CPU7                18,176      branch-misses             #    0.90% of all branches        
     1.604358805 CPU4             3,510,153      branches                                                    
     1.604358805 CPU5            95,056,230      branches                                                    
     1.604358805 CPU6               224,352      branches                                                    
     1.604358805 CPU7               359,760      branches                                                    
     1.804852781 CPU4            22,952,516      cycles                                                      
     1.804852781 CPU5           181,719,971      cycles                                                      
     1.804852781 CPU6           203,057,701      cycles                                                      
     1.804852781 CPU7             1,847,276      cycles                                                      
     1.804852781 CPU4             4,501,824      instructions              #    0.13  insn per cycle         
     1.804852781 CPU5           248,063,618      instructions              #    7.03  insn per cycle         
     1.804852781 CPU6           285,812,496      instructions              #    8.10  insn per cycle         
     1.804852781 CPU7                14,840      instructions              #    0.00  insn per cycle         
     1.804852781 CPU4                     0      page-faults                                                 
     1.804852781 CPU5                   179      page-faults                                                 
     1.804852781 CPU6                   208      page-faults                                                 
     1.804852781 CPU7                     0      page-faults                                                 
     1.804852781 CPU4                14,746      LLC-load-misses                                             
     1.804852781 CPU5                25,162      LLC-load-misses                                             
     1.804852781 CPU6                28,808      LLC-load-misses                                             
     1.804852781 CPU7                     4      LLC-load-misses                                             
     1.804852781 CPU4                26,487      branch-misses             #    1.38% of all branches        
     1.804852781 CPU5             1,496,548      branch-misses             #   77.84% of all branches        
     1.804852781 CPU6             1,739,778      branch-misses             #   90.49% of all branches        
     1.804852781 CPU7                   179      branch-misses             #    0.01% of all branches        
     1.804852781 CPU4             1,102,085      branches                                                    
     1.804852781 CPU5            45,284,397      branches                                                    
     1.804852781 CPU6            52,233,245      branches                                                    
     1.804852781 CPU7                 3,670      branches                                                    
     2.005314090 CPU4            28,278,459      cycles                                                      
     2.005314090 CPU5             1,187,468      cycles                                                      
     2.005314090 CPU6           384,631,843      cycles                                                      
     2.005314090 CPU7             1,230,334      cycles                                                      
     2.005314090 CPU4             5,729,456      instructions              #    0.17  insn per cycle         
     2.005314090 CPU5                14,816      instructions              #    0.00  insn per cycle         
     2.005314090 CPU6           549,074,617      instructions              #   15.88  insn per cycle         
     2.005314090 CPU7                19,851      instructions              #    0.00  insn per cycle         
     2.005314090 CPU4                     0      page-faults                                                 
     2.005314090 CPU5                     0      page-faults                                                 
     2.005314090 CPU6                   398      page-faults                                                 
     2.005314090 CPU7                     0      page-faults                                                 
     2.005314090 CPU4                16,271      LLC-load-misses                                             
     2.005314090 CPU5                    11      LLC-load-misses                                             
     2.005314090 CPU6                52,514      LLC-load-misses                                             
     2.005314090 CPU7                    64      LLC-load-misses                                             
     2.005314090 CPU4                40,614      branch-misses             #    2.18% of all branches        
     2.005314090 CPU5                   168      branch-misses             #    0.01% of all branches        
     2.005314090 CPU6             3,267,526      branch-misses             #  175.00% of all branches        
     2.005314090 CPU7                   275      branch-misses             #    0.01% of all branches        
     2.005314090 CPU4             1,367,188      branches                                                    
     2.005314090 CPU5                 3,614      branches                                                    
     2.005314090 CPU6           100,225,842      branches                                                    
     2.005314090 CPU7                 4,807      branches                                                    
     2.205807150 CPU4            23,784,118      cycles                                                      
     2.205807150 CPU5             1,260,704      cycles                                                      
     2.205807150 CPU6           362,814,115      cycles                                                      
     2.205807150 CPU7             1,164,793      cycles                                                      
     2.205807150 CPU4             4,675,410      instructions              #    0.14  insn per cycle         
     2.205807150 CPU5                24,979      instructions              #    0.00  insn per cycle         
     2.205807150 CPU6           518,510,413      instructions              #   15.44  insn per cycle         
     2.205807150 CPU7                14,828      instructions              #    0.00  insn per cycle         
     2.205807150 CPU4                     0      page-faults                                                 
     2.205807150 CPU5                     0      page-faults                                                 
     2.205807150 CPU6                   376      page-faults                                                 
     2.205807150 CPU7                     0      page-faults                                                 
     2.205807150 CPU4                14,811      LLC-load-misses                                             
     2.205807150 CPU5                    83      LLC-load-misses                                             
     2.205807150 CPU6                49,775      LLC-load-misses                                             
     2.205807150 CPU7                     2      LLC-load-misses                                             
     2.205807150 CPU4                26,753      branch-misses             #    1.49% of all branches        
     2.205807150 CPU5                   386      branch-misses             #    0.02% of all branches        
     2.205807150 CPU6             3,083,587      branch-misses             #  171.26% of all branches        
     2.205807150 CPU7                   164      branch-misses             #    0.01% of all branches        
     2.205807150 CPU4             1,134,248      branches                                                    
     2.205807150 CPU5                 5,830      branches                                                    
     2.205807150 CPU6            94,674,385      branches                                                    
     2.205807150 CPU7                 3,674      branches                                                    
     2.406282293 CPU4            18,647,805      cycles                                                      
     2.406282293 CPU5             1,438,040      cycles                                                      
     2.406282293 CPU6           380,900,320      cycles                                                      
     2.406282293 CPU7             1,031,537      cycles                                                      
     2.406282293 CPU4             3,653,799      instructions              #    0.11  insn per cycle         
     2.406282293 CPU5                68,455      instructions              #    0.00  insn per cycle         
     2.406282293 CPU6           544,765,218      instructions              #   16.84  insn per cycle         
     2.406282293 CPU7                14,852      instructions              #    0.00  insn per cycle         
     2.406282293 CPU4                     0      page-faults                                                 
     2.406282293 CPU5                     0      page-faults                                                 
     2.406282293 CPU6                   395      page-faults                                                 
     2.406282293 CPU7                     0      page-faults                                                 
     2.406282293 CPU4                10,091      LLC-load-misses                                             
     2.406282293 CPU5                   547      LLC-load-misses                                             
     2.406282293 CPU6                51,613      LLC-load-misses                                             
     2.406282293 CPU7                     1      LLC-load-misses                                             
     2.406282293 CPU4                16,787      branch-misses             #    0.97% of all branches        
     2.406282293 CPU5                   780      branch-misses             #    0.05% of all branches        
     2.406282293 CPU6             3,233,868      branch-misses             #  187.49% of all branches        
     2.406282293 CPU7                   155      branch-misses             #    0.01% of all branches        
     2.406282293 CPU4               892,341      branches                                                    
     2.406282293 CPU5                17,502      branches                                                    
     2.406282293 CPU6            99,469,903      branches                                                    
     2.406282293 CPU7                 3,657      branches                                                    
     2.606746935 CPU4            23,687,138      cycles                                                      
     2.606746935 CPU5             1,263,167      cycles                                                      
     2.606746935 CPU6           364,081,124      cycles                                                      
     2.606746935 CPU7             1,129,228      cycles                                                      
     2.606746935 CPU4             4,938,055      instructions              #    0.16  insn per cycle         
     2.606746935 CPU5                27,032      instructions              #    0.00  insn per cycle         
     2.606746935 CPU6           521,313,511      instructions              #   16.46  insn per cycle         
     2.606746935 CPU7                14,804      instructions              #    0.00  insn per cycle         
     2.606746935 CPU4                     0      page-faults                                                 
     2.606746935 CPU5                     0      page-faults                                                 
     2.606746935 CPU6                   378      page-faults                                                 
     2.606746935 CPU7                     0      page-faults                                                 
     2.606746935 CPU4                14,980      LLC-load-misses                                             
     2.606746935 CPU5                   270      LLC-load-misses                                             
     2.606746935 CPU6                49,714      LLC-load-misses                                             
     2.606746935 CPU7                     6      LLC-load-misses                                             
     2.606746935 CPU4                28,281      branch-misses             #    1.68% of all branches        
     2.606746935 CPU5                   460      branch-misses             #    0.03% of all branches        
     2.606746935 CPU6             3,091,524      branch-misses             #  183.64% of all branches        
     2.606746935 CPU7                   142      branch-misses             #    0.01% of all branches        
     2.606746935 CPU4             1,187,832      branches                                                    
     2.606746935 CPU5                 6,271      branches                                                    
     2.606746935 CPU6            95,171,284      branches                                                    
     2.606746935 CPU7                 3,670      branches                                                    
     2.807249286 CPU4            19,698,549      cycles                                                      
     2.807249286 CPU5             1,159,003      cycles                                                      
     2.807249286 CPU6           371,769,710      cycles                                                      
     2.807249286 CPU7             1,045,700      cycles                                                      
     2.807249286 CPU4             4,024,220      instructions              #    0.13  insn per cycle         
     2.807249286 CPU5                24,714      instructions              #    0.00  insn per cycle         
     2.807249286 CPU6           531,296,346      instructions              #   17.24  insn per cycle         
     2.807249286 CPU7                14,852      instructions              #    0.00  insn per cycle         
     2.807249286 CPU4                     0      page-faults                                                 
     2.807249286 CPU5                     0      page-faults                                                 
     2.807249286 CPU6                   385      page-faults                                                 
     2.807249286 CPU7                     0      page-faults                                                 
     2.807249286 CPU4                11,282      LLC-load-misses                                             
     2.807249286 CPU5                    64      LLC-load-misses                                             
     2.807249286 CPU6                50,789      LLC-load-misses                                             
     2.807249286 CPU7                     1      LLC-load-misses                                             
     2.807249286 CPU4                19,245      branch-misses             #    1.18% of all branches        
     2.807249286 CPU5                   336      branch-misses             #    0.02% of all branches        
     2.807249286 CPU6             3,149,419      branch-misses             #  192.78% of all branches        
     2.807249286 CPU7                   156      branch-misses             #    0.01% of all branches        
     2.807249286 CPU4               985,851      branches                                                    
     2.807249286 CPU5                 5,704      branches                                                    
     2.807249286 CPU6            96,984,238      branches                                                    
     2.807249286 CPU7                 3,671      branches                                                    
     3.007819387 CPU4           138,383,177      cycles                                                      
     3.007819387 CPU5            41,033,601      cycles                                                      
     3.007819387 CPU6           375,223,254      cycles                                                      
     3.007819387 CPU7             9,750,384      cycles                                                      
     3.007819387 CPU4            17,063,721      instructions              #    0.45  insn per cycle         
     3.007819387 CPU5            11,473,904      instructions              #    0.30  insn per cycle         
     3.007819387 CPU6           531,237,792      instructions              #   13.98  insn per cycle         
     3.007819387 CPU7             2,751,529      instructions              #    0.07  insn per cycle         
     3.007819387 CPU4                     0      page-faults                                                 
     3.007819387 CPU5                     0      page-faults                                                 
     3.007819387 CPU6                   385      page-faults                                                 
     3.007819387 CPU7                     0      page-faults                                                 
     3.007819387 CPU4                33,754      LLC-load-misses                                             
     3.007819387 CPU5                34,890      LLC-load-misses                                             
     3.007819387 CPU6                52,863      LLC-load-misses                                             
     3.007819387 CPU7                 5,778      LLC-load-misses                                             
     3.007819387 CPU4               121,316      branch-misses             #    6.84% of all branches        
     3.007819387 CPU5               131,887      branch-misses             #    7.44% of all branches        
     3.007819387 CPU6             3,147,543      branch-misses             #  177.47% of all branches        
     3.007819387 CPU7                35,361      branch-misses             #    1.99% of all branches        
     3.007819387 CPU4             3,732,003      branches                                                    
     3.007819387 CPU5             2,835,270      branches                                                    
     3.007819387 CPU6            96,998,294      branches                                                    
     3.007819387 CPU7               645,584      branches                                                    
     3.208421404 CPU4           182,490,597      cycles                                                      
     3.208421404 CPU5             5,172,873      cycles                                                      
     3.208421404 CPU6           361,111,722      cycles                                                      
     3.208421404 CPU7             3,731,243      cycles                                                      
     3.208421404 CPU4            19,736,729      instructions              #    0.42  insn per cycle         
     3.208421404 CPU5             1,102,811      instructions              #    0.02  insn per cycle         
     3.208421404 CPU6           511,965,183      instructions              #   10.89  insn per cycle         
     3.208421404 CPU7                14,852      instructions              #    0.00  insn per cycle         
     3.208421404 CPU4                     0      page-faults                                                 
     3.208421404 CPU5                     0      page-faults                                                 
     3.208421404 CPU6                   371      page-faults                                                 
     3.208421404 CPU7                     0      page-faults                                                 
     3.208421404 CPU4                34,561      LLC-load-misses                                             
     3.208421404 CPU5                 4,384      LLC-load-misses                                             
     3.208421404 CPU6                48,664      LLC-load-misses                                             
     3.208421404 CPU7                    11      LLC-load-misses                                             
     3.208421404 CPU4               144,658      branch-misses             #    7.48% of all branches        
     3.208421404 CPU5                 5,551      branch-misses             #    0.29% of all branches        
     3.208421404 CPU6             3,034,809      branch-misses             #  156.93% of all branches        
     3.208421404 CPU7                   174      branch-misses             #    0.01% of all branches        
     3.208421404 CPU4             4,337,909      branches                                                    
     3.208421404 CPU5               342,849      branches                                                    
     3.208421404 CPU6            93,457,081      branches                                                    
     3.208421404 CPU7                 3,685      branches                                                    
     3.408921838 CPU4           194,899,275      cycles                                                      
     3.408921838 CPU5            90,908,435      cycles                                                      
     3.408921838 CPU6           380,758,107      cycles                                                      
     3.408921838 CPU7            51,806,731      cycles                                                      
     3.408921838 CPU4            25,976,968      instructions              #    0.47  insn per cycle         
     3.408921838 CPU5            24,527,928      instructions              #    0.44  insn per cycle         
     3.408921838 CPU6           509,123,747      instructions              #    9.14  insn per cycle         
     3.408921838 CPU7            10,973,559      instructions              #    0.20  insn per cycle         
     3.408921838 CPU4                   984      page-faults                                                 
     3.408921838 CPU5                   969      page-faults                                                 
     3.408921838 CPU6                   370      page-faults                                                 
     3.408921838 CPU7                   647      page-faults                                                 
     3.408921838 CPU4                57,592      LLC-load-misses                                             
     3.408921838 CPU5                41,137      LLC-load-misses                                             
     3.408921838 CPU6                50,795      LLC-load-misses                                             
     3.408921838 CPU7                36,511      LLC-load-misses                                             
     3.408921838 CPU4               189,663      branch-misses             #    8.80% of all branches        
     3.408921838 CPU5               218,944      branch-misses             #   10.16% of all branches        
     3.408921838 CPU6             3,031,545      branch-misses             #  140.62% of all branches        
     3.408921838 CPU7               142,746      branch-misses             #    6.62% of all branches        
     3.408921838 CPU4             5,707,761      branches                                                    
     3.408921838 CPU5             5,132,598      branches                                                    
     3.408921838 CPU6            92,914,733      branches                                                    
     3.408921838 CPU7             2,310,305      branches                                                    
     3.609395522 CPU4           204,245,111      cycles                                                      
     3.609395522 CPU5             6,481,663      cycles                                                      
